timestamp,usd_krw,est_usd_krw,premium
1768870007.7870226,1475.0,1479.5421186530814,0.3079402476665348
1768877538.1991994,1477.7,1482.8957545142537,0.3516109165766815
1768881668.9097016,1477.9,1484.0156585717386,0.4138073328194431
1768884799.1297889,1477.0,1483.9051004756914,0.4675084953074725
1768886532.8737345,1476.2,1484.1290319082107,0.5371245026561859
1768888177.1645136,1477.2,1481.3672140198014,0.2821022217574702
1768888865.458813,1477.3,1483.114004505439,0.39355611625526404
1768891871.6769397,1478.7,1483.5471012263067,0.32779476745159103
1768893487.120991,1479.9,1483.1011101026834,0.21630583841362844
1768895072.9667807,1477.9,1483.7772968100405,0.39767892347523065
1768895840.4263957,1478.6,1484.541700657305,0.4018463855880625
1768898100.0985126,1476.7,1483.5813458607797,0.4659948439615138
1768899735.777325,1477.2,1484.2294765767203,0.47586491854321006
1768902164.6774426,1478.9,1481.7206421760627,0.1907256863927662
1768903174.9563773,1478.8,1481.7851124141646,0.2018604553803511
1768905443.4480028,1476.9,1481.4033745527925,0.304920749732031
1768906741.4515083,1476.1,1480.8555584639953,0.32217048059043324
1768908560.5978434,1476.5,1481.7427161779185,0.3550772893950904
1768909600.084424,1476.9,1483.3118426303747,0.43414196156643114
1768910235.2235458,1476.9,1482.4210875113258,0.37382947466488803
1768913630.354408,1477.1,1480.018950219989,0.1976135820180779
1768916440.39635,1477.7,1481.78272720588,0.2762893148731149
1768917967.1044772,1478.3,1482.1174578008024,0.25823295682895614
1768920489.0700731,1478.3,1485.054539496701,0.45691263591294057
1768922193.4239964,1478.0,1488.7348912851346,0.7263119949346826
1768924153.0079353,1476.8,1487.6756722899554,0.7364350142169181
1768925825.580403,1477.3,1486.1240981444164,0.5973125393905394
1768928037.71538,1479.2,1488.836741876493,0.6514833610392803
1768929767.790011,1478.6,1487.466787454714,0.5996745201348631
1768931507.7632976,1478.8,1488.9272083987646,0.6848261021615263
1768933053.5873003,1478.8,1488.9823468600628,0.6885546970559108
1768936438.6988308,1478.5,1489.46855595258,0.7418705412634353
1768940423.2680454,1479.8,1489.5635196480723,0.6597864338473011
1768942274.8968513,1479.8,1489.6998598278096,0.6689998532105472
1768943435.8721654,1479.8,1489.1072735298928,0.6289548269964105
